a,0.48,10.11,0.14, ,0.012
r,0.30,0.33,0.62,0.64,0.019
g,-0.04,0.02,0.02, ,0.023
r,0.30,0.33,0.62,0.64,0.027
a,0.44,9.84,0.22, ,0.030
g,-0.04,-0.00,0.01, ,0.033
r,0.30,0.33,0.62,0.64,0.035
g,-0.04,-0.02,0.01, ,0.039
r,0.30,0.33,0.62,0.64,0.041
a,0.44,9.88,0.22, ,0.044
g,-0.05,-0.03,0.01, ,0.048
r,0.30,0.33,0.62,0.64,0.051
a,0.44,9.96,0.22, ,0.053
g,-0.05,-0.03,0.02, ,0.058
r,0.30,0.33,0.62,0.64,0.060
a,0.44,10.04,0.22, ,0.064
a,0.48,10.00,0.25, ,0.067
g,-0.04,-0.04,0.02, ,0.070
r,0.30,0.33,0.62,0.64,0.072
a,0.48,9.96,0.25, ,0.076
g,-0.02,-0.04,0.03, ,0.079
r,0.30,0.33,0.62,0.64,0.082
a,0.48,10.04,0.22, ,0.087
g,-0.01,-0.04,0.04, ,0.089
r,0.30,0.33,0.62,0.64,0.092
a,0.48,10.08,0.22, ,0.095
g,-0.03,-0.04,0.05, ,0.100
r,0.30,0.33,0.62,0.64,0.102
a,0.48,10.04,0.22, ,0.106
g,-0.03,-0.03,0.06, ,0.109
r,0.30,0.33,0.62,0.64,0.112
a,0.48,10.00,0.18, ,0.114
g,-0.04,-0.02,0.06, ,0.119
r,0.30,0.33,0.62,0.64,0.122
a,0.48,9.96,0.18, ,0.125
g,-0.05,-0.01,0.05, ,0.129
r,0.30,0.33,0.62,0.64,0.132
a,0.44,9.92,0.18, ,0.136
g,-0.02,-0.01,0.04, ,0.140
r,0.30,0.33,0.62,0.64,0.142
a,0.44,9.96,0.33, ,0.147
g,-0.02,-0.02,0.05, ,0.149
r,0.30,0.33,0.62,0.64,0.152
a,0.40,9.92,0.29, ,0.155
g,-0.04,-0.04,0.04, ,0.159
r,0.30,0.33,0.62,0.64,0.162
a,0.52,9.77,0.33, ,0.164
g,-0.03,-0.05,0.04, ,0.168
r,0.30,0.33,0.62,0.64,0.171
a,0.52,9.89,0.25, ,0.174
g,-0.03,-0.04,0.04, ,0.178
r,0.30,0.33,0.62,0.64,0.181
a,0.55,9.84,0.18, ,0.183
a,0.52,9.88,0.18, ,0.187
g,-0.02,-0.02,0.02, ,0.189
r,0.30,0.33,0.62,0.64,0.192
a,0.52,9.92,0.22, ,0.196
g,0.00,0.00,0.02, ,0.200
r,0.30,0.33,0.62,0.64,0.203
a,0.55,9.96,0.22, ,0.208
g,0.02,0.02,0.02, ,0.210
r,0.30,0.33,0.62,0.64,0.213
a,0.52,9.92,0.25, ,0.215
g,0.04,0.03,0.02, ,0.218
r,0.30,0.33,0.62,0.64,0.221
a,0.48,9.96,0.22, ,0.225
a,0.48,9.96,0.18, ,0.228
g,0.04,0.02,0.02, ,0.230
r,0.30,0.33,0.62,0.64,0.233
a,0.52,10.04,0.14, ,0.237
g,0.02,0.02,0.03, ,0.239
r,0.30,0.33,0.62,0.64,0.242
a,0.55,10.00,0.18, ,0.245
g,-0.02,0.03,0.03, ,0.249
r,0.30,0.33,0.62,0.64,0.251
a,0.52,10.00,0.22, ,0.256
g,-0.07,0.03,0.03, ,0.260
r,0.30,0.33,0.62,0.65,0.263
a,0.48,10.08,0.22, ,0.267
g,-0.09,0.01,0.04, ,0.270
r,0.30,0.33,0.62,0.65,0.272
a,0.52,9.96,0.29, ,0.275
g,-0.09,-0.01,0.05, ,0.279
r,0.30,0.33,0.62,0.65,0.282
a,0.48,10.00,0.29, ,0.284
g,-0.09,-0.03,0.05, ,0.289
r,0.30,0.33,0.62,0.65,0.291
a,0.48,10.00,0.29, ,0.294
g,-0.09,-0.04,0.04, ,0.298
r,0.30,0.33,0.62,0.65,0.301
a,0.52,9.89,0.29, ,0.304
a,0.52,9.85,0.29, ,0.308
g,-0.07,-0.05,0.02, ,0.310
r,0.30,0.33,0.62,0.65,0.315
g,-0.04,-0.06,0.01, ,0.319
r,0.30,0.33,0.62,0.65,0.322
a,0.48,9.88,0.29, ,0.324
g,-0.01,-0.05,-0.01, ,0.329
r,0.30,0.33,0.62,0.65,0.331
a,0.55,9.93,0.18, ,0.334
g,0.01,-0.04,-0.01, ,0.338
r,0.30,0.33,0.62,0.65,0.341
a,0.55,9.92,0.22, ,0.344
a,0.59,9.92,0.18, ,0.348
g,0.01,-0.03,-0.00, ,0.350
