a,16,-96,4048,0.001
a,16,-96,4048,0.014
m,47,-430,771,0.016
a,32,-96,4064,0.017
a,16,-112,4048,0.023
a,16,-112,4048,0.031
m,70,-454,740,0.033
a,16,-112,4064,0.039
a,16,-96,4048,0.047
m,35,-430,777,0.053
a,16,-96,4048,0.055
a,16,-112,4048,0.063
a,32,-96,4064,0.071
m,53,-460,777,0.074
a,16,-96,4064,0.079
g,-2,-4,-2,0.086
a,16,-96,4048,0.088
g,-1,-6,0,0.093
a,16,-112,4064,0.095
rv,0.86,-0.00,0.00,0.51,0.100
a,16,-96,4064,0.102
g,-2,-6,-2,0.105
rv,0.86,-0.00,0.00,0.51,0.108
a,16,-112,4064,0.110
g,-2,-4,-2,0.114
m,70,-454,802,0.115
a,16,-96,4064,0.117
rv,0.86,-0.00,0.00,0.51,0.120
g,-2,-1,-1,0.123
rv,0.86,-0.00,0.00,0.51,0.127
a,16,-112,4048,0.129
m,88,-465,803,0.132
g,-2,-3,0,0.135
a,32,-96,4048,0.137
rv,0.86,-0.00,0.00,0.51,0.141
a,16,-112,4032,0.143
g,-2,-2,-2,0.145
rv,0.86,-0.00,0.00,0.51,0.149
a,16,-112,4064,0.151
g,-3,0,0,0.154
m,82,-442,797,0.156
a,0,-96,4064,0.158
rv,0.86,-0.00,0.00,0.51,0.164
g,-2,-2,-1,0.166
a,16,-96,4048,0.168
rv,0.86,-0.00,0.00,0.51,0.172
g,1,-6,-2,0.175
a,16,-96,4048,0.178
a,32,-112,4048,0.181
g,-2,-4,0,0.183
rv,0.86,-0.00,0.00,0.51,0.187
a,16,-96,4064,0.189
rv,0.86,-0.00,0.00,0.51,0.193
g,-3,-5,1,0.195
m,70,-442,809,0.197
a,32,-96,4048,0.199
g,-2,-5,-3,0.203
a,32,-96,4048,0.205
rv,0.86,-0.00,0.00,0.51,0.208
rv,0.86,-0.00,0.00,0.51,0.210
m,88,-454,816,0.212
g,-3,-4,-2,0.215
a,16,-96,4048,0.217
a,16,-96,4064,0.220
g,-3,-4,0,0.223
rv,0.86,-0.00,0.00,0.51,0.227
a,16,-96,4064,0.229
rv,0.86,-0.00,0.00,0.51,0.233
g,-2,-7,2,0.235
m,82,-448,790,0.238
a,16,-96,4064,0.239
g,-3,-7,0,0.243
a,16,-112,4048,0.245
rv,0.86,-0.00,0.00,0.51,0.250
m,88,-460,790,0.252
g,-2,-5,0,0.255
a,16,-112,4048,0.257
a,32,-112,4048,0.260
g,-1,-7,0,0.263
rv,0.86,-0.00,0.00,0.51,0.267
a,16,-96,4048,0.269
rv,0.86,-0.00,0.00,0.51,0.273
m,70,-454,797,0.275
a,32,-96,4064,0.278
rv,0.86,-0.00,0.00,0.51,0.281
g,-1,-4,1,0.284
a,16,-96,4064,0.286
rv,0.86,-0.00,0.00,0.51,0.290
a,16,-96,4048,0.292
g,-3,-4,0,0.295
m,76,-448,816,0.297
a,16,-96,4048,0.300
g,-2,-4,0,0.304
rv,0.86,-0.00,0.00,0.51,0.308
a,16,-112,4048,0.310
m,70,-460,822,0.312
g,0,-6,2,0.315
a,16,-112,4048,0.317
rv,0.86,-0.00,0.00,0.51,0.322
g,-1,-3,-1,0.325
a,32,-112,4064,0.327
rv,0.86,-0.00,0.00,0.51,0.331
a,16,-96,4064,0.333
g,-4,-3,2,0.336
m,76,-460,803,0.338
a,16,-96,4064,0.340
g,-2,-8,0,0.343
rv,0.86,-0.00,0.00,0.51,0.347
a,16,-96,4048,0.349
m,82,-448,797,0.352
g,0,-5,1,0.355
a,32,-96,4048,0.357
rv,0.86,-0.00,0.00,0.51,0.362
a,16,-112,4048,0.364
g,-1,-5,2,0.367
a,16,-112,4064,0.371
g,-2,-3,0,0.374
m,53,-454,797,0.376
