a,-0.09,-0.25,9.75,0.013
m,18.81,-26.94,-57.25,0.025
a,-0.09,-0.25,9.75,0.028
a,-0.09,-0.21,9.79,0.030
a,-0.05,-0.25,9.75,0.033
m,19.25,-27.50,-55.31,0.037
a,-0.09,-0.21,9.75,0.039
a,-0.13,-0.21,9.75,0.042
a,-0.09,-0.25,9.79,0.046
a,-0.13,-0.21,9.75,0.049
a,-0.13,-0.25,9.79,0.053
m,19.88,-27.81,-56.06,0.056
a,-0.09,-0.25,9.75,0.058
a,-0.09,-0.21,9.75,0.061
a,-0.13,-0.21,9.71,0.065
a,-0.09,-0.21,9.71,0.069
a,-0.09,-0.21,9.75,0.073
m,21.06,-26.25,-54.31,0.076
a,-0.09,-0.25,9.75,0.078
a,-0.13,-0.21,9.75,0.081
a,-0.13,-0.25,9.75,0.085
a,-0.09,-0.21,9.79,0.089
a,-0.09,-0.21,9.75,0.093
m,20.56,-26.00,-55.94,0.097
a,-0.16,-0.21,9.79,0.099
a,-0.09,-0.21,9.75,0.102
a,-0.13,-0.21,9.75,0.104
a,-0.13,-0.21,9.75,0.109
g,0.00,0.00,-0.00,0.115
a,-0.09,-0.21,9.75,0.120
g,0.00,-0.00,-0.00,0.123
m,20.44,-26.75,-56.00,0.126
g,0.00,0.00,-0.00,0.130
a,-0.13,-0.21,9.75,0.133
a,-0.09,-0.21,9.79,0.135
g,0.00,0.00,-0.00,0.140
a,-0.09,-0.17,9.75,0.143
m,20.06,-27.38,-55.31,0.146
g,-0.00,-0.00,0.00,0.150
a,-0.09,-0.25,9.75,0.154
a,-0.09,-0.21,9.79,0.157
g,0.00,0.00,0.00,0.160
a,-0.13,-0.21,9.79,0.164
m,19.81,-26.44,-55.25,0.167
g,0.00,-0.00,0.00,0.171
a,-0.13,-0.21,9.75,0.173
a,-0.13,-0.21,9.79,0.176
g,0.00,-0.00,-0.00,0.181
a,-0.09,-0.25,9.79,0.184
m,19.69,-27.12,-55.69,0.187
g,0.00,0.00,0.00,0.191
a,-0.09,-0.21,9.79,0.193
a,-0.09,-0.21,9.79,0.196
g,0.00,0.00,-0.00,0.200
a,-0.13,-0.25,9.75,0.204
m,19.31,-27.19,-55.75,0.207
g,-0.00,0.00,0.00,0.211
a,-0.09,-0.25,9.79,0.214
a,-0.09,-0.21,9.79,0.216
g,0.00,0.00,0.00,0.220
a,-0.09,-0.21,9.79,0.224
m,20.06,-27.38,-54.88,0.227
g,0.00,0.00,0.00,0.230
a,-0.13,-0.21,9.83,0.234
a,-0.09,-0.17,9.75,0.236
g,0.00,-0.00,0.00,0.241
a,-0.09,-0.21,9.83,0.244
m,19.25,-27.50,-55.38,0.247
g,0.00,0.00,0.00,0.251
a,-0.13,-0.25,9.79,0.254
a,-0.09,-0.21,9.79,0.257
g,0.00,0.00,0.00,0.261
a,-0.09,-0.25,9.79,0.265
m,19.62,-27.12,-56.06,0.268
g,0.00,0.00,0.00,0.271
a,-0.13,-0.25,9.75,0.275
a,-0.09,-0.21,9.75,0.279
g,0.00,0.00,0.00,0.282
a,-0.13,-0.21,9.75,0.286
m,20.06,-27.06,-55.62,0.290
g,0.00,0.00,0.00,0.292
a,-0.09,-0.21,9.75,0.296
g,0.00,0.00,0.00,0.300
a,-0.13,-0.25,9.75,0.304
m,19.81,-26.12,-55.62,0.307
g,0.00,0.00,0.00,0.310
a,-0.09,-0.21,9.75,0.314
a,-0.09,-0.25,9.83,0.317
g,0.00,0.00,0.00,0.321
a,-0.13,-0.17,9.79,0.325
m,19.69,-27.12,-55.69,0.328
g,0.00,0.00,0.00,0.331
a,-0.09,-0.25,9.79,0.334
a,-0.09,-0.25,9.75,0.337
g,0.00,-0.00,0.00,0.341
a,-0.09,-0.25,9.71,0.344
m,19.12,-25.88,-55.69,0.347
g,0.00,0.00,-0.00,0.351
a,-0.09,-0.21,9.75,0.355
a,-0.09,-0.21,9.71,0.358
g,0.00,-0.00,0.00,0.361
a,-0.09,-0.21,9.71,0.364
m,20.44,-27.00,-55.62,0.367
g,0.00,0.00,0.00,0.371
a,-0.13,-0.25,9.75,0.374
a,-0.13,-0.21,9.79,0.377
g,0.00,0.00,0.00,0.381
a,-0.09,-0.21,9.79,0.385
m,19.75,-27.06,-54.94,0.388
g,0.00,-0.00,-0.00,0.392
a,-0.09,-0.21,9.79,0.395
a,-0.09,-0.21,9.75,0.398
g,0.00,0.00,-0.00,0.401
a,-0.09,-0.25,9.75,0.404
m,18.75,-27.62,-56.62,0.407
g,-0.00,0.00,0.00,0.411
a,-0.09,-0.25,9.79,0.413
a,-0.09,-0.21,9.79,0.416
g,0.00,0.00,0.00,0.421
a,-0.09,-0.25,9.75,0.425
m,19.38,-27.12,-55.00,0.427
g,0.00,0.00,0.00,0.432
a,-0.13,-0.21,9.75,0.434
a,-0.09,-0.21,9.79,0.437
g,0.00,0.00,0.00,0.440
a,-0.09,-0.21,9.79,0.444
m,20.50,-26.38,-56.00,0.447
g,0.00,0.00,-0.00,0.451
a,-0.09,-0.21,9.79,0.454
a,-0.09,-0.21,9.79,0.457
g,0.00,0.00,0.00,0.460
a,-0.09,-0.25,9.79,0.464
m,18.19,-27.06,-56.62,0.466
g,0.00,0.00,0.00,0.471
a,-0.09,-0.25,9.75,0.473
a,-0.13,-0.21,9.75,0.476
g,0.00,0.00,0.00,0.481
a,-0.13,-0.21,9.75,0.484
m,19.81,-27.06,-54.12,0.489
g,0.00,0.00,0.00,0.492
a,-0.13,-0.25,9.75,0.496
g,0.00,0.00,-0.00,0.500
a,-0.13,-0.25,9.79,0.504
m,19.25,-27.19,-55.81,0.506
g,0.00,0.00,0.00,0.511
a,-0.13,-0.25,9.83,0.513
a,-0.09,-0.21,9.79,0.516
g,-0.00,0.00,0.00,0.521
a,-0.09,-0.21,9.79,0.524
m,20.00,-27.75,-55.38,0.527
g,0.00,-0.00,0.00,0.530
a,-0.09,-0.21,9.79,0.534
a,-0.13,-0.21,9.79,0.537
g,0.00,-0.00,0.00,0.540
a,-0.09,-0.21,9.75,0.544
m,19.81,-25.75,-56.06,0.546
g,0.00,0.00,0.00,0.551
a,-0.09,-0.21,9.79,0.555
a,-0.09,-0.21,9.75,0.558
g,-0.00,0.00,0.00,0.561
a,-0.09,-0.21,9.75,0.565
m,19.19,-27.25,-56.56,0.567
g,-0.00,-0.00,-0.00,0.571
a,-0.13,-0.21,9.75,0.575
a,-0.09,-0.25,9.75,0.577
g,0.00,-0.00,0.00,0.582
a,-0.13,-0.21,9.75,0.585
m,19.19,-26.94,-57.31,0.589
g,0.00,0.00,-0.00,0.592
a,-0.09,-0.21,9.75,0.595
g,0.00,0.00,0.00,0.600
a,-0.16,-0.25,9.75,0.603
m,20.75,-27.31,-55.62,0.606
g,0.00,0.00,-0.00,0.611
a,-0.09,-0.25,9.75,0.613
a,-0.13,-0.25,9.75,0.616
g,0.00,0.00,0.00,0.620
a,-0.09,-0.21,9.75,0.624
m,20.38,-27.69,-55.31,0.627
g,0.00,0.00,0.00,0.630
a,-0.09,-0.21,9.75,0.634
a,-0.13,-0.21,9.75,0.637
g,0.00,0.00,0.00,0.641
a,-0.13,-0.25,9.75,0.645
m,18.88,-26.94,-56.19,0.648
g,0.00,0.00,0.00,0.651
a,-0.09,-0.21,9.79,0.655
a,-0.09,-0.25,9.75,0.657
g,0.00,0.00,0.00,0.660
a,-0.13,-0.17,9.75,0.664
m,20.00,-27.38,-55.38,0.667
g,-0.00,0.00,0.00,0.671
a,-0.09,-0.21,9.79,0.673
a,-0.09,-0.25,9.75,0.676
g,0.00,0.00,0.00,0.680
a,-0.09,-0.25,9.79,0.684
m,19.69,-27.12,-55.75,0.687
g,0.00,0.00,-0.00,0.691
a,-0.09,-0.25,9.71,0.694
a,-0.09,-0.25,9.75,0.697
g,0.00,0.00,-0.00,0.701
a,-0.13,-0.25,9.75,0.705
