m,31.81,-14.38,-62.94,0.017
a,-0.05,-0.25,9.79,0.022
a,-0.09,-0.21,9.75,0.025
a,-0.09,-0.21,9.75,0.029
a,-0.09,-0.25,9.75,0.032
m,31.88,-14.62,-61.81,0.035
a,-0.09,-0.21,9.75,0.038
a,-0.05,-0.21,9.79,0.040
a,-0.09,-0.21,9.79,0.044
a,-0.09,-0.21,9.75,0.048
a,-0.09,-0.25,9.75,0.052
m,32.25,-14.62,-61.75,0.055
a,-0.09,-0.21,9.71,0.058
a,-0.09,-0.21,9.75,0.060
a,-0.09,-0.21,9.75,0.065
a,-0.05,-0.21,9.79,0.068
a,-0.09,-0.21,9.75,0.071
m,32.88,-15.19,-61.38,0.074
a,-0.05,-0.21,9.75,0.077
a,-0.09,-0.17,9.75,0.079
a,-0.09,-0.21,9.75,0.083
a,-0.05,-0.21,9.79,0.088
a,-0.05,-0.21,9.79,0.091
a,-0.05,-0.21,9.79,0.095
m,32.69,-14.19,-61.69,0.098
a,-0.05,-0.21,9.75,0.100
a,-0.05,-0.17,9.75,0.103
g,-0.00,0.00,-0.00,0.111
g,0.00,-0.00,-0.00,0.120
g,0.00,-0.00,0.00,0.127
a,-0.09,-0.21,9.79,0.133
m,32.00,-14.25,-60.62,0.137
g,0.00,0.00,0.00,0.140
g,-0.00,-0.00,-0.00,0.146
a,-0.05,-0.21,9.79,0.153
m,32.88,-14.88,-61.81,0.156
g,0.00,-0.00,0.00,0.159
g,0.00,-0.00,-0.00,0.167
a,-0.09,-0.25,9.75,0.173
m,32.19,-14.94,-61.44,0.177
g,0.00,-0.00,0.00,0.180
g,0.00,0.00,0.00,0.187
a,-0.05,-0.21,9.79,0.193
m,31.56,-14.62,-60.69,0.196
g,0.00,0.00,0.00,0.199
g,-0.00,-0.00,0.00,0.207
a,-0.09,-0.25,9.75,0.213
m,31.25,-14.38,-60.75,0.217
g,-0.00,0.00,0.00,0.219
g,0.00,-0.00,0.00,0.227
a,-0.09,-0.21,9.75,0.232
m,32.38,-13.88,-61.38,0.235
g,0.00,-0.00,0.00,0.238
a,-0.13,-0.21,9.75,0.246
g,0.00,0.00,-0.00,0.248
m,31.56,-14.31,-61.12,0.251
g,0.00,-0.00,0.00,0.258
a,-0.09,-0.21,9.75,0.266
g,0.00,0.00,0.00,0.269
m,32.62,-14.88,-61.06,0.273
g,-0.00,0.00,0.00,0.280
a,-0.05,-0.25,9.71,0.288
m,32.44,-13.81,-60.56,0.291
g,0.00,0.00,0.00,0.293
g,0.00,0.00,-0.00,0.300
a,-0.09,-0.21,9.75,0.308
m,31.94,-14.25,-61.50,0.311
g,0.00,0.00,-0.00,0.313
g,-0.00,-0.00,0.00,0.320
a,-0.09,-0.25,9.75,0.328
m,31.75,-13.56,-60.62,0.331
g,-0.00,0.00,0.00,0.334
g,0.00,0.00,0.00,0.340
a,-0.09,-0.21,9.71,0.348
g,0.00,0.00,0.00,0.351
m,31.88,-15.00,-61.06,0.353
g,-0.00,0.00,-0.00,0.360
g,0.00,-0.00,0.00,0.368
g,0.00,0.00,-0.00,0.378
a,-0.09,-0.25,9.79,0.383
m,31.94,-14.62,-61.12,0.387
g,0.00,-0.00,0.00,0.389
g,0.00,0.00,0.00,0.397
a,-0.09,-0.21,9.75,0.402
m,31.94,-14.62,-61.12,0.405
g,-0.00,0.00,-0.00,0.408
a,-0.09,-0.21,9.75,0.414
g,0.00,0.00,0.00,0.418
a,-0.09,-0.21,9.75,0.425
m,32.38,-14.19,-60.69,0.428
g,0.00,0.00,0.00,0.430
g,0.00,0.00,0.00,0.437
a,-0.09,-0.17,9.75,0.443
m,32.44,-13.81,-61.00,0.446
g,0.00,-0.00,0.00,0.448
a,-0.09,-0.21,9.75,0.454
g,0.00,-0.00,-0.00,0.458
a,-0.09,-0.25,9.79,0.468
g,-0.00,0.00,0.00,0.471
m,32.62,-15.19,-60.69,0.474
g,0.00,0.00,0.00,0.480
g,-0.00,0.00,-0.00,0.487
a,-0.09,-0.21,9.79,0.493
m,32.31,-14.56,-60.69,0.497
