a,-0.09,-0.25,9.75,0.014
a,-0.09,-0.25,9.79,0.024
a,-0.09,-0.21,9.75,0.027
a,-0.09,-0.25,9.75,0.032
m,23.94,-24.56,-57.44,0.035
a,-0.05,-0.21,9.79,0.038
a,-0.09,-0.21,9.79,0.040
a,-0.05,-0.25,9.75,0.044
a,-0.09,-0.25,9.75,0.047
m,24.19,-24.56,-58.62,0.050
a,-0.09,-0.21,9.79,0.053
a,-0.09,-0.21,9.75,0.056
a,-0.09,-0.21,9.83,0.060
a,-0.05,-0.21,9.79,0.064
a,-0.09,-0.21,9.75,0.067
m,23.94,-24.19,-57.81,0.071
a,-0.09,-0.21,9.79,0.074
a,-0.05,-0.25,9.79,0.076
a,-0.13,-0.25,9.75,0.080
a,-0.09,-0.25,9.75,0.084
a,-0.13,-0.21,9.79,0.087
m,22.88,-23.38,-58.31,0.091
a,-0.13,-0.25,9.75,0.094
a,-0.09,-0.21,9.75,0.096
a,-0.09,-0.21,9.75,0.100
g,-0.00,0.00,0.00,0.106
g,0.00,0.00,0.00,0.113
a,-0.09,-0.21,9.79,0.120
g,0.00,0.00,-0.00,0.123
a,-0.09,-0.21,9.79,0.127
g,0.00,0.00,0.00,0.131
a,-0.13,-0.21,9.75,0.137
m,22.62,-23.62,-56.75,0.141
g,-0.00,-0.00,0.00,0.144
a,-0.09,-0.25,9.79,0.147
g,0.00,-0.00,0.00,0.152
a,-0.09,-0.21,9.71,0.160
m,24.38,-23.81,-57.75,0.163
g,0.00,0.00,0.00,0.165
g,0.00,-0.00,0.00,0.170
a,-0.09,-0.21,9.75,0.180
m,22.94,-24.00,-57.12,0.183
g,0.01,0.00,0.00,0.185
g,0.00,0.00,0.00,0.190
a,-0.13,-0.25,9.79,0.196
m,23.25,-24.56,-56.38,0.199
g,-0.00,0.00,0.00,0.202
a,-0.09,-0.21,9.79,0.206
a,-0.09,-0.21,9.75,0.209
g,0.00,-0.00,0.00,0.212
a,-0.09,-0.21,9.75,0.220
m,24.06,-23.81,-57.06,0.223
g,0.00,-0.00,0.00,0.225
g,0.00,0.00,0.00,0.229
a,-0.13,-0.21,9.79,0.235
m,23.50,-24.62,-57.50,0.238
g,0.00,0.00,0.00,0.242
a,-0.13,-0.21,9.79,0.245
a,-0.09,-0.21,9.79,0.248
g,0.00,0.00,0.00,0.253
a,-0.09,-0.21,9.79,0.261
g,-0.00,0.00,0.00,0.263
m,24.00,-24.19,-57.06,0.266
g,0.00,0.00,0.00,0.271
a,-0.13,-0.21,9.75,0.278
m,22.75,-24.69,-57.62,0.282
g,0.00,0.00,0.00,0.284
a,-0.09,-0.25,9.83,0.289
g,0.00,0.00,0.00,0.292
a,-0.13,-0.21,9.71,0.301
g,0.00,-0.00,0.00,0.304
m,23.19,-23.94,-57.94,0.306
g,0.00,-0.00,0.00,0.311
a,-0.05,-0.21,9.75,0.318
m,23.06,-24.69,-58.44,0.322
g,0.00,0.00,0.00,0.324
a,-0.09,-0.25,9.75,0.329
g,0.00,-0.00,0.00,0.332
g,0.00,-0.00,0.00,0.340
a,-0.09,-0.21,9.79,0.344
m,23.31,-23.88,-56.69,0.347
g,0.00,0.00,0.00,0.352
a,-0.13,-0.21,9.79,0.359
m,23.31,-23.56,-57.50,0.362
g,0.00,-0.00,-0.00,0.365
a,-0.09,-0.25,9.79,0.372
g,0.00,0.00,0.00,0.374
m,23.31,-23.56,-57.50,0.377
g,0.00,-0.00,0.00,0.384
a,-0.13,-0.21,9.71,0.387
g,0.00,0.00,0.00,0.392
a,-0.13,-0.21,9.75,0.399
m,24.00,-23.81,-57.44,0.402
g,0.00,0.00,0.00,0.404
a,-0.05,-0.25,9.79,0.409
g,-0.00,0.00,0.00,0.412
a,-0.09,-0.21,9.75,0.420
g,0.00,0.00,-0.00,0.422
m,23.94,-24.19,-57.88,0.425
a,-0.09,-0.21,9.75,0.429
g,0.00,0.00,0.00,0.432
a,-0.09,-0.21,9.75,0.440
m,23.12,-24.31,-57.94,0.443
g,0.00,-0.00,0.00,0.445
g,-0.00,0.00,0.00,0.451
a,-0.09,-0.21,9.75,0.457
m,22.31,-25.12,-57.69,0.460
g,0.00,0.00,-0.00,0.463
a,-0.09,-0.25,9.79,0.466
g,0.00,0.00,0.00,0.471
a,-0.09,-0.21,9.75,0.477
m,23.19,-24.62,-57.19,0.481
g,0.00,0.00,-0.00,0.483
a,-0.13,-0.21,9.79,0.487
g,0.00,0.00,0.00,0.491
a,-0.13,-0.21,9.71,0.497
m,23.62,-24.56,-56.75,0.501
g,0.00,0.00,0.00,0.504
a,-0.13,-0.25,9.79,0.509
g,0.00,0.00,0.00,0.511
a,-0.09,-0.21,9.79,0.518
m,22.88,-24.62,-56.50,0.521
g,-0.00,-0.00,0.00,0.524
a,-0.09,-0.21,9.75,0.527
g,-0.00,-0.00,-0.00,0.532
a,-0.13,-0.25,9.75,0.540
m,23.75,-23.81,-56.38,0.543
g,-0.00,0.00,-0.00,0.545
g,-0.00,-0.00,0.00,0.551
a,-0.09,-0.21,9.71,0.557
m,23.50,-24.25,-58.00,0.560
g,-0.00,-0.00,0.00,0.562
a,-0.13,-0.25,9.79,0.566
a,-0.09,-0.25,9.75,0.568
g,-0.00,0.00,0.00,0.572
a,-0.09,-0.25,9.75,0.580
m,22.88,-24.31,-57.25,0.583
g,0.00,0.00,-0.00,0.585
a,-0.09,-0.21,9.75,0.591
m,23.56,-24.94,-56.81,0.594
g,0.00,0.00,-0.00,0.596
g,-0.00,-0.00,0.00,0.602
a,-0.05,-0.21,9.79,0.606
g,0.00,-0.00,0.00,0.610
a,-0.05,-0.21,9.75,0.617
m,22.94,-23.94,-56.81,0.621
g,0.00,0.00,0.00,0.624
a,-0.09,-0.25,9.75,0.627
g,0.00,0.00,0.00,0.632
a,-0.09,-0.21,9.75,0.639
m,23.62,-24.56,-56.75,0.642
g,0.00,0.00,0.00,0.645
a,-0.09,-0.25,9.75,0.650
g,0.00,0.00,-0.00,0.653
g,0.00,0.00,-0.00,0.661
a,-0.13,-0.25,9.75,0.664
m,22.88,-24.31,-57.25,0.667
