a,-1.00,-0.42,9.65, ,0.026
a,-0.96,-0.42,9.65, ,0.030
a,-1.00,-0.46,9.65, ,0.032
a,-1.00,-0.42,9.65, ,0.036
a,-1.00,-0.42,9.65, ,0.040
a,-0.96,-0.42,9.65, ,0.044
a,-1.00,-0.42,9.61, ,0.048
a,-0.96,-0.46,9.65, ,0.052
a,-0.96,-0.46,9.65, ,0.055
a,-1.00,-0.42,9.65, ,0.060
a,-1.00,-0.46,9.65, ,0.063
a,-1.00,-0.46,9.65, ,0.068
a,-1.00,-0.46,9.65, ,0.071
a,-1.00,-0.42,9.61, ,0.075
a,-1.00,-0.46,9.61, ,0.080
a,-0.96,-0.46,9.61, ,0.083
g,-0.00,0.00,-0.00, ,0.092
a,-1.00,-0.46,9.65, ,0.095
g,-0.00,0.00,0.00, ,0.100
a,-1.00,-0.42,9.65, ,0.103
a,-0.96,-0.42,9.65, ,0.106
a,-1.00,-0.46,9.61, ,0.109
g,0.00,0.00,0.00, ,0.111
a,-1.00,-0.46,9.65, ,0.115
g,0.00,0.00,0.00, ,0.119
a,-1.00,-0.46,9.61, ,0.123
a,-0.96,-0.42,9.61, ,0.125
g,-0.00,0.00,0.00, ,0.129
a,-1.00,-0.42,9.65, ,0.131
a,-1.00,-0.42,9.65, ,0.134
a,-0.96,-0.42,9.69, ,0.136
g,-0.00,0.00,0.00, ,0.139
a,-1.00,-0.46,9.65, ,0.142
a,-0.96,-0.42,9.61, ,0.145
a,-0.96,-0.46,9.65, ,0.148
g,-0.00,0.00,0.00, ,0.150
a,-0.96,-0.46,9.61, ,0.153
a,-1.00,-0.46,9.65, ,0.157
g,-0.00,0.00,-0.00, ,0.160
a,-0.96,-0.42,9.61, ,0.163
a,-1.04,-0.46,9.65, ,0.166
g,0.00,0.00,0.00, ,0.169
a,-0.96,-0.46,9.65, ,0.172
a,-1.00,-0.42,9.65, ,0.174
g,0.00,0.00,0.00, ,0.179
a,-1.00,-0.42,9.65, ,0.182
a,-0.96,-0.46,9.61, ,0.185
a,-1.00,-0.46,9.58, ,0.188
g,0.00,0.00,-0.00, ,0.191
a,-0.96,-0.46,9.65, ,0.194
g,0.00,0.00,-0.00, ,0.198
a,-0.96,-0.46,9.65, ,0.202
a,-1.00,-0.46,9.61, ,0.205
a,-0.96,-0.42,9.61, ,0.208
g,0.00,0.00,-0.00, ,0.210
a,-0.96,-0.46,9.65, ,0.214
a,-0.96,-0.42,9.61, ,0.218
g,-0.00,-0.00,0.00, ,0.220
a,-1.00,-0.46,9.61, ,0.224
a,-0.96,-0.46,9.65, ,0.227
g,0.00,-0.00,-0.00, ,0.229
a,-0.96,-0.46,9.61, ,0.232
a,-1.00,-0.46,9.61, ,0.235
g,0.00,0.00,0.00, ,0.239
a,-0.96,-0.46,9.61, ,0.242
a,-1.00,-0.46,9.61, ,0.245
a,-0.96,-0.46,9.65, ,0.248
g,0.00,0.00,-0.00, ,0.251
a,-0.96,-0.42,9.65, ,0.253
a,-1.00,-0.42,9.65, ,0.256
g,0.00,0.00,0.00, ,0.259
a,-1.00,-0.42,9.61, ,0.263
a,-0.96,-0.42,9.61, ,0.265
g,0.00,0.00,0.00, ,0.269
a,-1.00,-0.42,9.61, ,0.272
a,-1.00,-0.42,9.65, ,0.275
g,0.00,0.00,0.00, ,0.279
a,-1.00,-0.42,9.61, ,0.283
a,-1.00,-0.46,9.65, ,0.285
g,-0.00,0.00,0.00, ,0.289
a,-1.00,-0.42,9.61, ,0.292
a,-1.00,-0.46,9.61, ,0.295
g,-0.00,0.00,0.00, ,0.299
a,-1.00,-0.42,9.65, ,0.302
a,-0.96,-0.46,9.65, ,0.305
g,0.00,-0.00,0.00, ,0.309
a,-1.00,-0.46,9.65, ,0.312
a,-1.00,-0.42,9.65, ,0.314
g,0.00,-0.00,0.00, ,0.319
a,-1.00,-0.46,9.61, ,0.322
a,-0.96,-0.46,9.65, ,0.325
g,0.00,-0.00,0.00, ,0.329
a,-0.96,-0.42,9.65, ,0.331
a,-1.00,-0.42,9.61, ,0.335
g,0.00,0.00,-0.00, ,0.339
a,-0.96,-0.42,9.65, ,0.343
a,-0.96,-0.46,9.61, ,0.345
g,0.00,0.00,0.00, ,0.350
a,-1.04,-0.42,9.65, ,0.353
a,-1.00,-0.42,9.65, ,0.356
g,0.00,0.00,-0.00, ,0.359
a,-1.00,-0.42,9.65, ,0.362
a,-0.96,-0.46,9.61, ,0.365
g,0.00,0.00,-0.00, ,0.369
a,-1.00,-0.42,9.65, ,0.372
a,-1.00,-0.46,9.65, ,0.374
g,0.00,0.00,0.00, ,0.379
a,-1.00,-0.46,9.61, ,0.382
a,-1.00,-0.42,9.65, ,0.385
g,-0.00,0.00,0.00, ,0.389
a,-0.96,-0.46,9.61, ,0.393
a,-0.96,-0.46,9.65, ,0.395
g,-0.00,-0.00,-0.00, ,0.400
a,-1.00,-0.42,9.65, ,0.402
a,-1.00,-0.42,9.65, ,0.405
g,0.00,-0.00,-0.00, ,0.409
a,-0.96,-0.42,9.61, ,0.412
a,-0.96,-0.42,9.65, ,0.414
g,-0.00,0.00,0.00, ,0.419
a,-1.00,-0.42,9.61, ,0.422
a,-1.00,-0.42,9.61, ,0.425
g,-0.00,0.00,0.00, ,0.429
a,-0.96,-0.42,9.65, ,0.431
a,-1.00,-0.42,9.65, ,0.434
a,-1.00,-0.42,9.58, ,0.438
g,-0.00,-0.00,-0.00, ,0.440
a,-1.00,-0.42,9.61, ,0.444
a,-0.96,-0.42,9.65, ,0.446
a,-1.00,-0.42,9.65, ,0.450
g,0.00,0.00,0.00, ,0.452
a,-0.96,-0.50,9.65, ,0.455
g,-0.00,0.00,0.00, ,0.460
a,-1.00,-0.42,9.61, ,0.463
a,-0.96,-0.46,9.61, ,0.466
a,-0.96,-0.46,9.65, ,0.469
g,-0.00,0.00,-0.00, ,0.472
a,-0.96,-0.46,9.65, ,0.475
g,0.00,0.00,0.00, ,0.480
a,-0.96,-0.46,9.65, ,0.483
a,-0.96,-0.46,9.65, ,0.486
a,-1.00,-0.46,9.65, ,0.489
g,0.00,0.00,0.00, ,0.491
a,-1.00,-0.46,9.61, ,0.495
g,0.00,-0.00,0.01, ,0.499
a,-0.96,-0.46,9.65, ,0.503
a,-0.96,-0.42,9.61, ,0.505
a,-1.00,-0.42,9.61, ,0.509
g,-0.00,0.00,0.00, ,0.511
a,-0.96,-0.46,9.65, ,0.515
g,-0.00,0.00,0.00, ,0.519
a,-1.00,-0.46,9.61, ,0.523
a,-1.04,-0.42,9.65, ,0.525
a,-1.04,-0.46,9.65, ,0.529
g,-0.00,0.00,0.00, ,0.531
a,-1.00,-0.42,9.65, ,0.535
g,-0.00,0.00,0.00, ,0.539
a,-0.96,-0.46,9.65, ,0.542
a,-1.00,-0.42,9.65, ,0.545
a,-1.04,-0.46,9.65, ,0.549
g,-0.00,0.00,0.00, ,0.551
a,-0.96,-0.42,9.65, ,0.554
g,-0.00,0.00,0.00, ,0.559
a,-0.96,-0.46,9.61, ,0.562
a,-1.00,-0.42,9.65, ,0.565
a,-1.00,-0.42,9.61, ,0.568
g,-0.00,0.00,-0.00, ,0.571
a,-1.00,-0.46,9.65, ,0.574
a,-1.00,-0.42,9.61, ,0.578
g,0.00,-0.00,0.00, ,0.580
a,-0.96,-0.42,9.61, ,0.584
a,-1.04,-0.46,9.65, ,0.586
g,-0.00,0.00,0.00, ,0.590
a,-0.96,-0.42,9.61, ,0.592
a,-0.96,-0.46,9.65, ,0.595
g,0.00,0.00,-0.00, ,0.599
a,-0.96,-0.46,9.65, ,0.603
a,-0.96,-0.46,9.65, ,0.605
a,-0.96,-0.46,9.65, ,0.609
g,-0.00,0.00,0.00, ,0.611
a,-1.00,-0.46,9.65, ,0.615
g,0.00,0.00,-0.00, ,0.619
a,-0.96,-0.46,9.61, ,0.622
a,-0.96,-0.42,9.65, ,0.625
a,-1.00,-0.42,9.61, ,0.629
g,-0.00,0.00,0.00, ,0.631
a,-1.00,-0.38,9.61, ,0.635
g,0.00,0.00,-0.00, ,0.639
a,-0.96,-0.42,9.65, ,0.642
a,-0.96,-0.42,9.61, ,0.645
a,-1.00,-0.46,9.61, ,0.649
g,0.00,0.00,0.00, ,0.651
a,-1.00,-0.46,9.65, ,0.654
a,-1.00,-0.42,9.61, ,0.658
