a,-0.77,-0.38,9.69, ,0.017
a,-0.77,-0.38,9.69, ,0.020
a,-0.73,-0.42,9.69, ,0.023
m,-7.50,19.69,-35.69, ,0.028
a,-0.77,-0.38,9.61, ,0.031
m,-7.81,20.06,-35.69, ,0.034
a,-0.73,-0.46,9.61, ,0.037
a,-0.77,-0.42,9.61, ,0.041
m,-8.12,19.44,-35.12, ,0.044
a,-0.77,-0.42,9.65, ,0.046
a,-0.77,-0.38,9.65, ,0.049
m,-7.81,20.12,-36.06, ,0.051
a,-0.80,-0.38,9.61, ,0.054
a,-0.77,-0.38,9.61, ,0.056
a,-0.77,-0.38,9.61, ,0.061
m,-8.19,20.12,-35.25, ,0.063
a,-0.77,-0.38,9.65, ,0.066
a,-0.77,-0.38,9.65, ,0.069
m,-7.81,18.94,-33.94, ,0.072
a,-0.80,-0.38,9.61, ,0.075
a,-0.77,-0.38,9.61, ,0.078
g,-0.00,0.00,-0.00, ,0.085
r,0.96,-0.01,0.05,-0.27,0.091
g,0.00,0.00,0.00, ,0.094
r,0.96,-0.01,0.05,-0.27,0.098
g,0.00,-0.00,0.00, ,0.100
r,0.96,-0.01,0.05,-0.27,0.103
a,-0.77,-0.42,9.65, ,0.106
m,-8.81,19.56,-35.12, ,0.109
g,-0.00,0.00,0.00, ,0.111
r,0.96,-0.01,0.05,-0.27,0.114
g,0.00,0.00,0.00, ,0.118
r,0.96,-0.01,0.05,-0.27,0.121
a,-0.77,-0.38,9.65, ,0.125
m,-7.44,18.94,-35.25, ,0.128
g,0.00,-0.00,0.00, ,0.131
r,0.96,-0.01,0.05,-0.27,0.134
g,-0.00,0.00,0.00, ,0.139
r,0.96,-0.01,0.05,-0.27,0.142
a,-0.80,-0.38,9.61, ,0.145
m,-8.12,20.19,-36.50, ,0.149
g,0.00,-0.00,-0.00, ,0.152
r,0.96,-0.01,0.05,-0.27,0.155
g,0.00,-0.00,0.00, ,0.160
r,0.96,-0.01,0.05,-0.27,0.162
a,-0.73,-0.42,9.65, ,0.166
m,-7.06,19.31,-35.69, ,0.169
g,0.00,0.00,0.00, ,0.172
r,0.96,-0.01,0.05,-0.27,0.174
g,0.00,0.00,0.00, ,0.179
r,0.96,-0.01,0.05,-0.27,0.182
a,-0.77,-0.38,9.61, ,0.185
m,-8.50,20.19,-36.06, ,0.189
g,-0.00,0.00,-0.00, ,0.192
r,0.96,-0.01,0.05,-0.27,0.196
g,0.00,-0.00,-0.00, ,0.200
r,0.96,-0.01,0.05,-0.27,0.203
a,-0.73,-0.42,9.65, ,0.207
m,-8.12,20.19,-36.06, ,0.210
g,0.00,0.00,0.00, ,0.212
r,0.96,-0.01,0.05,-0.27,0.215
g,0.00,0.00,-0.00, ,0.220
r,0.96,-0.01,0.05,-0.27,0.222
a,-0.77,-0.42,9.65, ,0.226
m,-6.75,19.25,-35.75, ,0.229
g,0.00,0.00,0.00, ,0.232
r,0.96,-0.01,0.05,-0.27,0.234
g,0.00,0.00,0.00, ,0.239
r,0.96,-0.01,0.05,-0.27,0.241
a,-0.77,-0.42,9.65, ,0.245
m,-7.56,20.00,-35.31, ,0.249
g,0.00,0.00,0.00, ,0.252
r,0.96,-0.01,0.05,-0.27,0.256
g,-0.00,-0.00,0.00, ,0.260
r,0.96,-0.01,0.05,-0.27,0.263
a,-0.77,-0.46,9.61, ,0.266
m,-7.62,18.19,-34.81, ,0.270
g,0.00,0.00,0.00, ,0.272
r,0.96,-0.01,0.05,-0.27,0.275
g,0.00,0.00,0.00, ,0.279
r,0.96,-0.01,0.05,-0.27,0.282
a,-0.77,-0.42,9.58, ,0.285
m,-8.06,19.06,-35.19, ,0.289
g,-0.00,-0.00,-0.00, ,0.291
r,0.96,-0.01,0.05,-0.27,0.294
g,0.00,0.00,0.00, ,0.299
r,0.96,-0.01,0.05,-0.27,0.301
a,-0.77,-0.38,9.61, ,0.305
m,-7.19,18.25,-36.50, ,0.308
g,0.00,-0.00,0.00, ,0.312
r,0.96,-0.01,0.05,-0.27,0.315
g,-0.00,0.00,-0.00, ,0.319
r,0.96,-0.01,0.05,-0.27,0.322
a,-0.80,-0.38,9.61, ,0.326
m,-7.31,18.56,-35.69, ,0.329
g,0.00,0.00,0.00, ,0.331
r,0.96,-0.01,0.05,-0.27,0.334
g,0.00,0.00,0.00, ,0.339
r,0.96,-0.01,0.05,-0.27,0.342
a,-0.77,-0.42,9.61, ,0.345
m,-8.44,19.06,-34.75, ,0.348
g,-0.00,0.00,-0.00, ,0.351
r,0.96,-0.01,0.05,-0.27,0.353
a,-0.77,-0.38,9.61, ,0.359
g,0.00,0.00,0.00, ,0.361
m,-7.81,20.06,-35.75, ,0.364
r,0.96,-0.01,0.05,-0.27,0.367
g,0.00,0.00,-0.00, ,0.371
r,0.96,-0.01,0.05,-0.27,0.374
g,0.00,0.00,0.00, ,0.379
r,0.96,-0.01,0.05,-0.27,0.382
a,-0.77,-0.38,9.65, ,0.384
m,-8.00,19.06,-36.06, ,0.388
g,-0.00,0.00,0.00, ,0.390
r,0.96,-0.01,0.05,-0.27,0.393
a,-0.77,-0.38,9.65, ,0.399
g,0.00,0.00,0.00, ,0.401
m,-6.62,18.88,-36.19, ,0.404
r,0.96,-0.01,0.05,-0.27,0.406
g,-0.00,0.00,0.00, ,0.411
r,0.96,-0.01,0.05,-0.27,0.414
g,-0.00,-0.00,-0.00, ,0.419
r,0.96,-0.01,0.05,-0.27,0.422
a,-0.80,-0.38,9.61, ,0.424
m,-8.31,18.38,-35.12, ,0.428
g,0.00,0.00,0.00, ,0.432
r,0.96,-0.01,0.05,-0.27,0.434
g,0.00,-0.00,0.00, ,0.439
r,0.96,-0.01,0.05,-0.27,0.441
a,-0.73,-0.42,9.65, ,0.445
m,-7.12,19.25,-35.31, ,0.449
g,0.00,0.00,0.00, ,0.451
r,0.96,-0.01,0.05,-0.27,0.454
g,-0.00,0.00,0.00, ,0.459
r,0.96,-0.01,0.05,-0.27,0.462
a,-0.77,-0.42,9.61, ,0.464
m,-8.00,18.69,-35.19, ,0.467
g,0.00,0.00,0.00, ,0.470
r,0.96,-0.01,0.05,-0.27,0.473
a,-0.77,-0.38,9.65, ,0.477
m,-7.38,18.94,-35.69, ,0.480
g,0.00,0.00,-0.00, ,0.482
r,0.96,-0.01,0.05,-0.27,0.486
g,-0.00,0.00,0.00, ,0.491
r,0.96,-0.01,0.05,-0.27,0.493
a,-0.77,-0.38,9.65, ,0.499
g,-0.00,0.00,0.00, ,0.501
m,-7.12,20.44,-37.06, ,0.504
r,0.96,-0.01,0.05,-0.27,0.507
g,-0.00,0.00,0.00, ,0.510
r,0.96,-0.01,0.05,-0.27,0.513
a,-0.77,-0.38,9.65, ,0.516
m,-7.62,19.06,-36.56, ,0.520
g,0.00,0.00,-0.00, ,0.522
r,0.96,-0.01,0.05,-0.27,0.525
g,0.00,0.00,0.00, ,0.529
r,0.96,-0.01,0.05,-0.27,0.532
a,-0.80,-0.38,9.65, ,0.536
m,-8.44,19.50,-35.19, ,0.539
g,0.00,0.00,0.00, ,0.542
r,0.96,-0.01,0.05,-0.27,0.545
g,0.00,0.00,0.00, ,0.550
r,0.96,-0.01,0.05,-0.27,0.552
a,-0.77,-0.42,9.65, ,0.556
m,-7.75,19.38,-35.25, ,0.560
g,-0.00,0.00,0.00, ,0.562
r,0.96,-0.01,0.05,-0.27,0.565
g,-0.00,0.00,0.00, ,0.569
r,0.96,-0.01,0.05,-0.27,0.572
a,-0.77,-0.38,9.58, ,0.575
m,-7.50,19.31,-35.25, ,0.579
g,0.00,0.00,0.00, ,0.581
r,0.96,-0.01,0.05,-0.27,0.584
g,-0.00,0.00,0.00, ,0.589
r,0.96,-0.01,0.05,-0.27,0.592
a,-0.77,-0.42,9.69, ,0.594
m,-7.38,19.38,-36.56, ,0.597
g,0.00,-0.00,0.00, ,0.600
r,0.96,-0.01,0.05,-0.27,0.604
g,-0.00,-0.00,0.00, ,0.609
r,0.96,-0.01,0.05,-0.27,0.611
a,-0.77,-0.42,9.65, ,0.615
m,-7.38,18.94,-35.69, ,0.619
g,0.00,0.00,-0.00, ,0.621
r,0.96,-0.01,0.05,-0.27,0.624
g,0.00,0.00,0.00, ,0.629
r,0.96,-0.01,0.05,-0.27,0.632
a,-0.80,-0.38,9.61, ,0.634
m,-7.62,18.25,-35.62, ,0.637
g,-0.00,0.00,0.00, ,0.641
r,0.96,-0.01,0.05,-0.27,0.644
a,-0.77,-0.42,9.61, ,0.650
g,0.00,-0.00,0.00, ,0.652
m,-7.44,19.75,-36.12, ,0.654
r,0.96,-0.01,0.05,-0.27,0.657
