m,-5.62,15.25,-37.69, ,0.044
m,-8.00,16.94,-35.88, ,0.052
m,-7.31,17.62,-37.25, ,0.062
m,-7.31,15.88,-38.38, ,0.072
m,-7.62,16.88,-36.31, ,0.083
g,0.00,0.00,0.00, ,0.092
m,-8.25,17.62,-34.62, ,0.096
g,0.00,0.00,-0.00, ,0.099
g,0.00,0.00,0.00, ,0.108
m,-7.50,16.94,-37.56, ,0.112
g,0.00,0.00,0.00, ,0.119
m,-7.69,16.44,-35.00, ,0.123
g,-0.00,-0.00,0.00, ,0.129
m,-8.12,16.44,-33.75, ,0.133
g,-0.00,0.00,0.00, ,0.139
m,-7.25,15.69,-35.06, ,0.142
g,-0.00,0.00,0.00, ,0.148
m,-7.38,16.38,-34.62, ,0.152
g,0.00,-0.00,-0.00, ,0.158
m,-7.38,17.19,-35.56, ,0.162
g,0.00,0.00,0.00, ,0.168
m,-7.31,16.81,-35.94, ,0.172
g,0.00,0.00,0.00, ,0.180
m,-8.19,17.25,-34.62, ,0.182
g,-0.00,0.00,-0.00, ,0.189
m,-8.44,16.94,-35.00, ,0.192
g,0.00,0.00,0.00, ,0.199
m,-7.94,16.12,-35.06, ,0.202
g,-0.00,0.00,0.00, ,0.209
m,-8.38,16.56,-35.00, ,0.212
g,0.00,0.00,0.00, ,0.220
m,-7.56,16.12,-35.88, ,0.222
g,-0.00,0.00,0.00, ,0.229
m,-7.75,16.81,-35.12, ,0.232
g,0.00,0.00,0.00, ,0.239
m,-7.94,16.56,-35.88, ,0.242
g,0.00,0.00,-0.00, ,0.250
m,-7.62,16.44,-35.50, ,0.252
g,0.00,0.00,0.00, ,0.259
m,-8.31,16.19,-35.00, ,0.262
g,0.00,0.00,0.00, ,0.269
m,-8.31,15.88,-34.50, ,0.273
g,0.00,-0.00,0.00, ,0.279
m,-7.69,16.06,-34.62, ,0.282
g,-0.00,0.00,-0.00, ,0.289
m,-7.44,16.75,-34.69, ,0.291
g,0.00,0.00,0.00, ,0.299
m,-7.88,16.12,-35.81, ,0.303
g,0.00,0.00,0.00, ,0.309
m,-8.25,15.88,-35.38, ,0.313
g,-0.00,0.00,0.00, ,0.319
m,-8.31,16.62,-35.88, ,0.323
g,0.00,0.00,-0.00, ,0.329
m,-7.00,16.38,-35.56, ,0.332
g,0.00,0.00,0.00, ,0.338
m,-7.12,16.75,-35.19, ,0.342
g,0.00,0.00,-0.00, ,0.349
m,-7.38,16.38,-34.62, ,0.353
g,0.00,0.00,0.00, ,0.359
m,-7.69,17.25,-36.38, ,0.363
g,0.00,0.00,0.00, ,0.369
m,-7.06,16.31,-34.69, ,0.372
g,0.00,0.00,0.01, ,0.379
m,-7.62,15.75,-34.19, ,0.383
g,0.00,0.00,0.00, ,0.389
