g,-0.00,-0.00,-0.00, ,0.092
r,0.96,-0.01,0.04,-0.26,0.098
g,0.00,0.00,0.00, ,0.101
r,0.96,-0.01,0.04,-0.26,0.104
g,0.00,-0.00,-0.00, ,0.110
r,0.96,-0.01,0.04,-0.26,0.112
g,0.00,0.00,0.00, ,0.119
r,0.96,-0.01,0.04,-0.26,0.121
g,-0.00,0.00,0.00, ,0.129
r,0.96,-0.01,0.04,-0.26,0.131
g,0.00,0.00,0.00, ,0.139
r,0.96,-0.01,0.04,-0.26,0.142
g,-0.00,0.00,0.00, ,0.148
r,0.96,-0.01,0.04,-0.26,0.151
g,0.00,0.00,0.00, ,0.158
r,0.96,-0.01,0.04,-0.26,0.161
g,0.00,0.00,-0.00, ,0.168
r,0.96,-0.01,0.04,-0.26,0.171
g,0.00,0.00,-0.00, ,0.179
r,0.96,-0.01,0.04,-0.26,0.181
g,0.00,0.00,0.00, ,0.189
r,0.96,-0.01,0.04,-0.26,0.191
g,-0.00,0.00,0.00, ,0.199
r,0.96,-0.01,0.04,-0.26,0.202
g,0.00,0.00,-0.00, ,0.209
r,0.96,-0.01,0.04,-0.26,0.212
g,0.00,0.00,0.00, ,0.219
r,0.96,-0.01,0.04,-0.26,0.222
g,0.00,-0.00,0.00, ,0.229
r,0.96,-0.01,0.04,-0.26,0.232
g,0.00,0.00,0.00, ,0.239
r,0.96,-0.01,0.04,-0.26,0.242
g,0.00,0.00,0.00, ,0.249
r,0.96,-0.01,0.04,-0.26,0.252
g,0.00,0.00,-0.00, ,0.258
r,0.96,-0.01,0.04,-0.26,0.261
g,0.00,0.00,0.00, ,0.269
r,0.96,-0.01,0.04,-0.26,0.271
g,-0.00,0.00,0.00, ,0.279
r,0.96,-0.01,0.04,-0.26,0.281
g,-0.00,0.00,0.00, ,0.289
r,0.96,-0.01,0.04,-0.26,0.292
g,0.00,0.00,0.00, ,0.299
r,0.96,-0.01,0.04,-0.26,0.302
g,0.00,-0.00,0.00, ,0.309
r,0.96,-0.01,0.04,-0.26,0.312
g,0.00,0.00,0.00, ,0.319
r,0.96,-0.01,0.04,-0.26,0.322
g,-0.00,0.00,0.00, ,0.329
r,0.96,-0.01,0.04,-0.26,0.332
g,-0.00,-0.00,0.00, ,0.339
r,0.96,-0.01,0.04,-0.26,0.342
g,-0.00,0.00,0.00, ,0.348
r,0.96,-0.01,0.04,-0.26,0.351
g,0.00,-0.00,0.00, ,0.358
r,0.96,-0.01,0.04,-0.26,0.361
g,0.00,0.00,-0.00, ,0.369
r,0.96,-0.01,0.04,-0.26,0.371
g,0.00,0.00,0.00, ,0.379
