m,-8.75,-35.75,-66.19,0.016
a,-0.01,-0.17,9.71,0.026
a,-0.01,-0.21,9.75,0.029
a,-0.01,-0.21,9.75,0.036
m,-6.88,-35.44,-65.62,0.041
a,-0.01,-0.21,9.75,0.044
m,-6.94,-35.31,-62.88,0.047
a,-0.01,-0.17,9.75,0.049
a,-0.01,-0.17,9.75,0.052
a,-0.01,-0.17,9.75,0.056
m,-7.00,-34.69,-64.06,0.058
a,-0.01,-0.17,9.75,0.061
a,-0.01,-0.21,9.71,0.064
m,-6.31,-35.94,-62.88,0.068
a,-0.01,-0.17,9.75,0.071
a,-0.01,-0.17,9.79,0.074
a,-0.01,-0.21,9.79,0.077
m,-7.19,-35.75,-64.50,0.080
a,-0.01,-0.21,9.75,0.083
a,-0.01,-0.21,9.75,0.086
a,-0.01,-0.21,9.71,0.090
m,-6.62,-34.62,-64.06,0.093
a,0.03,-0.17,9.75,0.096
m,-7.81,-35.50,-63.81,0.099
a,-0.01,-0.21,9.71,0.102
a,0.03,-0.21,9.75,0.105
a,0.03,-0.21,9.75,0.108
m,-7.50,-35.44,-64.12,0.111
g,-0.00,0.00,0.00,0.117
r,0.10,-0.00,0.01,-1.00,0.123
g,0.00,-0.00,-0.00,0.127
r,0.10,-0.00,0.01,-1.00,0.131
g,0.00,0.00,0.00,0.133
r,0.10,-0.00,0.01,-1.00,0.136
g,0.00,-0.00,0.00,0.140
r,0.10,-0.00,0.01,-1.00,0.143
a,-0.01,-0.21,9.75,0.147
m,-7.62,-36.50,-63.81,0.151
g,-0.00,0.00,0.00,0.155
r,0.10,-0.00,0.01,-1.00,0.158
g,-0.00,0.00,0.00,0.162
r,0.10,-0.00,0.01,-1.00,0.165
a,-0.01,-0.21,9.75,0.171
g,-0.00,0.00,0.00,0.173
m,-7.06,-35.06,-64.12,0.176
r,0.10,-0.00,0.01,-1.00,0.180
g,0.00,0.00,0.00,0.183
r,0.10,-0.00,0.01,-1.00,0.186
g,0.00,0.00,0.00,0.190
r,0.10,-0.00,0.01,-1.00,0.193
a,-0.01,-0.21,9.71,0.197
m,-6.81,-36.06,-63.81,0.200
g,0.00,0.00,-0.00,0.203
r,0.10,-0.00,0.01,-1.00,0.206
g,0.00,0.00,-0.00,0.211
r,0.10,-0.00,0.01,-1.00,0.214
a,-0.01,-0.21,9.79,0.217
m,-6.94,-35.00,-63.38,0.222
g,0.00,0.00,0.00,0.224
r,0.10,-0.00,0.01,-1.00,0.227
g,0.00,0.00,0.00,0.231
r,0.10,-0.00,0.01,-1.00,0.234
a,0.03,-0.25,9.79,0.238
m,-6.19,-34.88,-63.25,0.241
g,0.00,-0.00,0.00,0.244
r,0.10,-0.00,0.01,-1.00,0.247
g,-0.00,0.00,0.00,0.251
r,0.10,-0.00,0.01,-1.00,0.254
a,0.03,-0.21,9.75,0.258
m,-6.31,-35.25,-63.69,0.262
g,0.00,0.00,0.00,0.264
r,0.10,-0.00,0.01,-1.00,0.267
g,0.00,-0.00,0.00,0.271
r,0.10,-0.00,0.01,-1.00,0.274
a,0.03,-0.21,9.75,0.278
m,-7.88,-35.56,-64.62,0.282
g,0.00,0.00,-0.00,0.285
r,0.10,-0.00,0.01,-1.00,0.288
g,0.00,0.00,0.00,0.292
r,0.10,-0.00,0.01,-1.00,0.295
g,0.00,0.00,0.00,0.300
r,0.10,-0.00,0.01,-1.00,0.303
a,0.03,-0.21,9.79,0.306
m,-7.00,-35.38,-63.38,0.310
g,0.00,0.00,0.00,0.313
r,0.10,-0.00,0.01,-1.00,0.316
g,0.00,0.00,0.00,0.321
r,0.10,-0.00,0.01,-1.00,0.324
a,-0.01,-0.21,9.79,0.327
m,-6.19,-34.56,-63.69,0.331
g,0.00,0.00,0.00,0.333
r,0.10,-0.00,0.01,-1.00,0.336
g,0.00,0.00,0.00,0.341
r,0.10,-0.00,0.01,-1.00,0.343
a,-0.01,-0.25,9.79,0.348
m,-6.12,-34.56,-63.31,0.351
g,-0.00,-0.00,-0.00,0.354
r,0.10,-0.00,0.01,-1.00,0.357
g,0.00,0.00,0.00,0.361
r,0.10,-0.00,0.01,-1.00,0.364
a,0.03,-0.21,9.75,0.368
m,-8.12,-35.19,-63.50,0.372
g,0.00,-0.00,0.00,0.374
r,0.10,-0.00,0.01,-1.00,0.377
g,0.00,0.00,0.00,0.381
r,0.10,-0.00,0.01,-1.00,0.384
a,0.03,-0.25,9.83,0.388
m,-6.69,-35.00,-64.12,0.392
g,0.00,0.00,0.00,0.394
r,0.10,-0.00,0.01,-1.00,0.397
g,0.00,0.00,0.00,0.401
r,0.10,-0.00,0.01,-1.00,0.404
a,-0.01,-0.21,9.75,0.409
m,-7.44,-35.12,-64.25,0.411
g,0.00,-0.00,0.00,0.414
r,0.10,-0.00,0.01,-1.00,0.417
g,-0.00,0.00,0.00,0.421
r,0.10,-0.00,0.01,-1.00,0.424
a,-0.01,-0.21,9.75,0.428
m,-6.88,-35.75,-65.38,0.431
g,0.00,0.00,0.00,0.434
r,0.10,-0.00,0.01,-1.00,0.437
g,0.00,0.00,0.00,0.441
r,0.10,-0.00,0.01,-1.00,0.444
a,0.03,-0.17,9.71,0.448
m,-7.06,-35.38,-63.81,0.451
g,0.00,0.00,0.00,0.455
r,0.10,-0.00,0.01,-1.00,0.458
g,0.00,-0.00,0.00,0.462
r,0.10,-0.00,0.01,-1.00,0.465
a,0.03,-0.21,9.75,0.471
g,0.00,-0.00,-0.00,0.475
m,-7.00,-35.00,-63.44,0.477
r,0.10,-0.00,0.01,-1.00,0.481
g,0.00,0.00,-0.00,0.485
r,0.10,-0.00,0.01,-1.00,0.488
g,0.00,0.00,0.00,0.492
r,0.10,-0.00,0.01,-1.00,0.495
a,0.03,-0.17,9.75,0.500
g,0.00,0.00,0.00,0.503
m,-6.00,-36.25,-62.94,0.506
r,0.10,-0.00,0.01,-1.00,0.509
