a,0.08,-0.31,9.78, ,0.037
a,0.08,-0.31,9.78, ,0.042
a,0.08,-0.31,9.78, ,0.045
a,0.08,-0.31,9.78, ,0.050
a,0.08,-0.31,9.78, ,0.052
a,0.08,-0.31,9.80, ,0.057
a,0.08,-0.31,9.74, ,0.060
a,0.08,-0.31,9.78, ,0.065
a,0.08,-0.27,9.78, ,0.068
a,0.08,-0.31,9.78, ,0.073
a,0.12,-0.31,9.78, ,0.076
a,0.12,-0.31,9.78, ,0.081
a,0.12,-0.34,9.78, ,0.084
a,0.12,-0.31,9.80, ,0.089
a,0.16,-0.31,9.78, ,0.092
a,0.12,-0.31,9.78, ,0.096
a,0.12,-0.31,9.78, ,0.100
a,0.16,-0.34,9.78, ,0.104
a,0.12,-0.34,9.78, ,0.108
a,0.12,-0.34,9.78, ,0.113
a,0.16,-0.31,9.78, ,0.116
a,0.12,-0.31,9.78, ,0.120
a,0.12,-0.31,9.78, ,0.123
a,0.16,-0.31,9.78, ,0.128
a,0.12,-0.27,9.74, ,0.132
r,0.88,-0.01,-0.01,0.47,0.139
r,0.88,-0.01,-0.01,0.47,0.144
a,0.12,-0.31,9.78, ,0.147
a,0.12,-0.27,9.78, ,0.149
a,0.12,-0.27,9.85, ,0.153
r,0.88,-0.01,-0.01,0.47,0.156
a,0.16,-0.34,9.80, ,0.158
a,0.12,-0.31,9.80, ,0.161
r,0.88,-0.01,-0.01,0.47,0.164
a,0.12,-0.31,9.74, ,0.168
a,0.12,-0.31,9.78, ,0.171
a,0.12,-0.31,9.78, ,0.174
r,0.88,-0.01,-0.01,0.47,0.177
a,0.12,-0.34,9.78, ,0.181
r,0.88,-0.01,-0.01,0.47,0.185
a,0.16,-0.34,9.78, ,0.189
a,0.12,-0.34,9.74, ,0.192
r,0.88,-0.01,-0.01,0.47,0.195
a,0.08,-0.34,9.78, ,0.199
a,0.08,-0.34,9.78, ,0.201
r,0.88,-0.01,-0.01,0.47,0.205
a,0.08,-0.34,9.78, ,0.209
a,0.08,-0.34,9.78, ,0.211
r,0.88,-0.01,-0.01,0.47,0.215
a,0.08,-0.34,9.78, ,0.217
a,0.08,-0.34,9.78, ,0.220
r,0.88,-0.01,-0.01,0.47,0.225
a,0.08,-0.34,9.78, ,0.228
a,0.08,-0.31,9.78, ,0.231
r,0.88,-0.01,-0.01,0.47,0.236
a,0.08,-0.34,9.78, ,0.238
a,0.04,-0.34,9.80, ,0.242
r,0.88,-0.01,-0.01,0.47,0.247
a,0.04,-0.31,9.74, ,0.250
a,0.08,-0.34,9.74, ,0.254
r,0.88,-0.01,-0.01,0.47,0.256
a,0.12,-0.34,9.78, ,0.260
r,0.88,-0.01,-0.01,0.47,0.265
a,0.04,-0.34,9.74, ,0.268
a,0.12,-0.31,9.78, ,0.271
r,0.88,-0.01,-0.01,0.47,0.276
a,0.04,-0.34,9.78, ,0.278
a,0.12,-0.34,9.78, ,0.281
r,0.88,-0.01,-0.01,0.47,0.285
a,0.12,-0.31,9.78, ,0.289
a,0.12,-0.34,9.78, ,0.292
r,0.88,-0.01,-0.01,0.47,0.294
a,0.12,-0.31,9.78, ,0.298
a,0.16,-0.31,9.80, ,0.300
r,0.88,-0.01,-0.01,0.47,0.305
a,0.08,-0.34,9.78, ,0.309
a,0.12,-0.34,9.78, ,0.311
r,0.88,-0.01,-0.01,0.47,0.315
a,0.16,-0.31,9.78, ,0.319
a,0.16,-0.31,9.78, ,0.321
r,0.88,-0.01,-0.01,0.47,0.326
a,0.16,-0.31,9.78, ,0.330
r,0.88,-0.01,-0.01,0.47,0.334
a,0.16,-0.34,9.78, ,0.337
a,0.16,-0.31,9.80, ,0.339
r,0.88,-0.01,-0.01,0.47,0.344
a,0.16,-0.31,9.78, ,0.348
a,0.12,-0.27,9.74, ,0.350
r,0.88,-0.01,-0.01,0.47,0.355
a,0.12,-0.27,9.74, ,0.358
a,0.16,-0.31,9.74, ,0.360
r,0.88,-0.01,-0.01,0.47,0.365
a,0.12,-0.34,9.78, ,0.369
a,0.12,-0.34,9.80, ,0.371
r,0.88,-0.01,-0.01,0.47,0.375
a,0.08,-0.34,9.80, ,0.378
a,0.12,-0.34,9.78, ,0.380
r,0.88,-0.01,-0.01,0.47,0.385
a,0.08,-0.31,9.78, ,0.387
a,0.08,-0.34,9.78, ,0.390
r,0.88,-0.01,-0.01,0.47,0.395
a,0.12,-0.34,9.80, ,0.397
a,0.08,-0.31,9.78, ,0.400
r,0.88,-0.01,-0.01,0.47,0.405
a,0.08,-0.34,9.78, ,0.408
a,0.08,-0.34,9.78, ,0.411
a,0.08,-0.34,9.80, ,0.414
r,0.88,-0.01,-0.01,0.47,0.417
a,0.04,-0.34,9.80, ,0.420
r,0.88,-0.01,-0.01,0.47,0.425
a,0.08,-0.38,9.78, ,0.429
a,0.08,-0.34,9.78, ,0.431
a,0.08,-0.34,9.80, ,0.435
r,0.88,-0.01,-0.01,0.47,0.438
a,0.12,-0.34,9.78, ,0.441
r,0.88,-0.01,-0.01,0.47,0.446
a,0.08,-0.34,9.74, ,0.450
r,0.88,-0.01,-0.01,0.47,0.454
a,0.12,-0.34,9.78, ,0.458
a,0.12,-0.31,9.78, ,0.461
r,0.88,-0.01,-0.01,0.47,0.465
a,0.12,-0.27,9.78, ,0.469
a,0.12,-0.31,9.74, ,0.471
a,0.16,-0.31,9.78, ,0.475
r,0.88,-0.01,-0.01,0.47,0.478
a,0.08,-0.31,9.80, ,0.481
r,0.88,-0.01,-0.01,0.47,0.486
a,0.08,-0.31,9.78, ,0.490
r,0.88,-0.01,-0.01,0.47,0.494
a,0.12,-0.31,9.78, ,0.497
a,0.12,-0.34,9.80, ,0.500
r,0.88,-0.01,-0.01,0.47,0.504
a,0.08,-0.34,9.78, ,0.508
a,0.12,-0.31,9.78, ,0.510
a,0.12,-0.34,9.78, ,0.514
r,0.88,-0.01,-0.01,0.47,0.517
a,0.12,-0.31,9.78, ,0.520
r,0.88,-0.01,-0.01,0.47,0.525
a,0.12,-0.31,9.78, ,0.529
a,0.12,-0.31,9.74, ,0.531
r,0.88,-0.01,-0.01,0.47,0.536
a,0.12,-0.34,9.78, ,0.538
a,0.12,-0.31,9.74, ,0.541
r,0.88,-0.01,-0.01,0.47,0.545
a,0.12,-0.31,9.78, ,0.548
a,0.12,-0.31,9.74, ,0.551
r,0.88,-0.01,-0.01,0.47,0.556
a,0.08,-0.34,9.78, ,0.558
a,0.08,-0.31,9.78, ,0.561
r,0.88,-0.01,-0.01,0.47,0.566
a,0.12,-0.31,9.78, ,0.569
a,0.12,-0.34,9.80, ,0.572
r,0.88,-0.01,-0.01,0.47,0.575
a,0.08,-0.34,9.78, ,0.579
a,0.12,-0.34,9.78, ,0.582
r,0.88,-0.01,-0.01,0.47,0.586
a,0.08,-0.34,9.80, ,0.590
r,0.88,-0.01,-0.01,0.47,0.595
a,0.08,-0.34,9.78, ,0.597
a,0.08,-0.31,9.78, ,0.600
r,0.88,-0.01,-0.01,0.47,0.605
a,0.08,-0.31,9.78, ,0.608
a,0.12,-0.31,9.74, ,0.611
r,0.88,-0.01,-0.01,0.47,0.615
a,0.12,-0.31,9.78, ,0.619
a,0.16,-0.34,9.78, ,0.622
r,0.88,-0.01,-0.01,0.47,0.625
a,0.12,-0.31,9.80, ,0.629
a,0.12,-0.31,9.74, ,0.632
r,0.88,-0.01,-0.01,0.47,0.636
a,0.08,-0.34,9.74, ,0.639
a,0.12,-0.34,9.80, ,0.641
r,0.88,-0.01,-0.01,0.47,0.646
a,0.08,-0.31,9.74, ,0.650
a,0.16,-0.34,9.78, ,0.653
r,0.88,-0.01,-0.01,0.47,0.656
a,0.12,-0.31,9.80, ,0.660
r,0.88,-0.01,-0.01,0.47,0.665
a,0.12,-0.34,9.80, ,0.667
a,0.12,-0.34,9.80, ,0.670
r,0.88,-0.01,-0.01,0.47,0.675
a,0.12,-0.31,9.78, ,0.678
a,0.12,-0.34,9.78, ,0.682
r,0.88,-0.01,-0.01,0.47,0.687
a,0.12,-0.31,9.78, ,0.690
r,0.88,-0.01,-0.01,0.47,0.695
a,0.08,-0.34,9.80, ,0.697
a,0.12,-0.31,9.78, ,0.700
r,0.88,-0.01,-0.01,0.47,0.705
a,0.12,-0.34,9.78, ,0.708
a,0.08,-0.31,9.74, ,0.711
a,0.08,-0.31,9.74, ,0.714
r,0.88,-0.01,-0.01,0.47,0.718
a,0.04,-0.31,9.74, ,0.721
r,0.88,-0.01,-0.01,0.47,0.725
a,0.08,-0.31,9.78, ,0.729
a,0.08,-0.31,9.80, ,0.732
a,0.08,-0.34,9.78, ,0.735
r,0.88,-0.01,-0.01,0.47,0.738
a,0.08,-0.34,9.80, ,0.741
r,0.88,-0.01,-0.01,0.47,0.746
a,0.08,-0.31,9.78, ,0.750
r,0.88,-0.01,-0.01,0.47,0.755
a,0.08,-0.34,9.74, ,0.757
a,0.08,-0.34,9.78, ,0.760
r,0.88,-0.01,-0.01,0.47,0.765
a,0.08,-0.34,9.74, ,0.767
a,0.12,-0.31,9.80, ,0.770
a,0.08,-0.34,9.78, ,0.773
r,0.88,-0.01,-0.01,0.47,0.777
a,0.12,-0.34,9.80, ,0.780
a,0.16,-0.34,9.78, ,0.782
r,0.88,-0.01,-0.01,0.47,0.785
a,0.12,-0.31,9.74, ,0.788
a,0.12,-0.31,9.78, ,0.791
a,0.12,-0.34,9.78, ,0.795
r,0.88,-0.01,-0.01,0.47,0.797
a,0.08,-0.31,9.78, ,0.801
r,0.88,-0.01,-0.01,0.47,0.806
a,0.12,-0.34,9.78, ,0.809
a,0.12,-0.31,9.78, ,0.812
r,0.88,-0.01,-0.01,0.47,0.815
a,0.12,-0.27,9.78, ,0.817
a,0.12,-0.31,9.78, ,0.820
r,0.88,-0.01,-0.01,0.47,0.825
a,0.16,-0.34,9.74, ,0.828
a,0.12,-0.31,9.74, ,0.831
a,0.08,-0.31,9.78, ,0.834
r,0.88,-0.01,-0.01,0.47,0.837
a,0.12,-0.27,9.78, ,0.841
r,0.88,-0.01,-0.01,0.47,0.845
a,0.12,-0.31,9.78, ,0.849
a,0.08,-0.31,9.80, ,0.851
r,0.88,-0.01,-0.01,0.47,0.856
a,0.16,-0.31,9.78, ,0.859
a,0.12,-0.31,9.74, ,0.861
r,0.88,-0.01,-0.01,0.47,0.865
a,0.12,-0.31,9.78, ,0.869
a,0.12,-0.31,9.78, ,0.871
r,0.88,-0.01,-0.01,0.47,0.876
a,0.08,-0.27,9.78, ,0.879
a,0.12,-0.31,9.80, ,0.881
r,0.88,-0.01,-0.01,0.47,0.886
a,0.12,-0.34,9.78, ,0.890
a,0.08,-0.34,9.78, ,0.893
r,0.88,-0.01,-0.01,0.47,0.896
a,0.12,-0.34,9.78, ,0.899
a,0.12,-0.34,9.78, ,0.902
r,0.88,-0.01,-0.01,0.47,0.907
a,0.12,-0.31,9.74, ,0.909
a,0.12,-0.31,9.78, ,0.912
r,0.88,-0.01,-0.01,0.47,0.916
a,0.08,-0.31,9.78, ,0.918
a,0.08,-0.34,9.80, ,0.921
r,0.88,-0.01,-0.01,0.47,0.926
a,0.12,-0.34,9.78, ,0.929
a,0.08,-0.34,9.80, ,0.932
r,0.88,-0.01,-0.01,0.47,0.936
a,0.12,-0.31,9.78, ,0.939
a,0.08,-0.31,9.78, ,0.942
r,0.88,-0.01,-0.01,0.47,0.946
a,0.08,-0.34,9.78, ,0.950
a,0.08,-0.31,9.78, ,0.953
r,0.88,-0.01,-0.01,0.47,0.956
a,0.12,-0.34,9.80, ,0.960
r,0.88,-0.01,-0.01,0.47,0.965
a,0.08,-0.31,9.78, ,0.968
a,0.08,-0.34,9.78, ,0.971
r,0.88,-0.01,-0.01,0.47,0.975
a,0.08,-0.34,9.80, ,0.978
a,0.08,-0.34,9.78, ,0.981
r,0.88,-0.01,-0.01,0.47,0.985
a,0.08,-0.31,9.78, ,0.989
a,0.08,-0.31,9.78, ,0.992
r,0.88,-0.01,-0.01,0.47,0.996
a,0.08,-0.31,9.80, ,0.999
a,0.12,-0.31,9.78, ,1.001
r,0.88,-0.01,-0.01,0.47,1.005
a,0.08,-0.31,9.78, ,1.009
a,0.08,-0.27,9.80, ,1.011
r,0.88,-0.01,-0.01,0.47,1.016
a,0.08,-0.31,9.74, ,1.019
a,0.08,-0.27,9.78, ,1.021
r,0.88,-0.01,-0.01,0.47,1.026
a,0.16,-0.31,9.78, ,1.028
a,0.12,-0.31,9.80, ,1.031
r,0.88,-0.01,-0.01,0.47,1.036
a,0.12,-0.34,9.78, ,1.038
a,0.16,-0.31,9.78, ,1.041
r,0.88,-0.01,-0.01,0.47,1.046
a,0.12,-0.31,9.74, ,1.049
a,0.12,-0.31,9.78, ,1.052
r,0.88,-0.01,-0.01,0.47,1.057
a,0.16,-0.34,9.78, ,1.059
a,0.12,-0.31,9.80, ,1.062
r,0.88,-0.01,-0.01,0.47,1.066
a,0.16,-0.31,9.80, ,1.070
a,0.12,-0.31,9.74, ,1.074
r,0.88,-0.01,-0.01,0.47,1.076
a,0.12,-0.31,9.80, ,1.080
r,0.88,-0.01,-0.01,0.47,1.085
a,0.12,-0.31,9.78, ,1.087
a,0.12,-0.31,9.74, ,1.090
a,0.08,-0.31,9.78, ,1.094
r,0.88,-0.01,-0.01,0.47,1.097
a,0.12,-0.31,9.80, ,1.101
r,0.88,-0.01,-0.01,0.47,1.105
a,0.08,-0.31,9.78, ,1.109
a,0.08,-0.31,9.78, ,1.113
r,0.88,-0.01,-0.01,0.47,1.117
a,0.08,-0.31,9.78, ,1.120
a,0.12,-0.31,9.80, ,1.123
r,0.88,-0.01,-0.01,0.47,1.126
a,0.08,-0.31,9.80, ,1.130
a,0.08,-0.34,9.80, ,1.133
r,0.88,-0.01,-0.01,0.47,1.137
a,0.08,-0.34,9.78, ,1.140
a,0.08,-0.34,9.78, ,1.142
r,0.88,-0.01,-0.01,0.47,1.146
a,0.04,-0.34,9.78, ,1.150
a,0.08,-0.31,9.78, ,1.152
r,0.88,-0.01,-0.01,0.47,1.156
a,0.08,-0.38,9.80, ,1.158
a,0.04,-0.34,9.80, ,1.161
r,0.88,-0.01,-0.01,0.47,1.166
a,0.04,-0.34,9.78, ,1.169
a,0.04,-0.31,9.78, ,1.173
r,0.88,-0.01,-0.01,0.47,1.178
a,0.08,-0.31,9.74, ,1.180
r,0.88,-0.01,-0.01,0.47,1.185
a,0.08,-0.31,9.78, ,1.188
a,0.08,-0.31,9.74, ,1.190
a,0.08,-0.31,9.78, ,1.194
r,0.88,-0.01,-0.01,0.47,1.196
a,0.08,-0.31,9.78, ,1.200
r,0.88,-0.01,-0.01,0.47,1.205
a,0.08,-0.34,9.78, ,1.208
a,0.12,-0.31,9.80, ,1.211
a,0.16,-0.31,9.78, ,1.214
r,0.88,-0.01,-0.01,0.47,1.217
a,0.16,-0.31,9.78, ,1.221
r,0.88,-0.01,-0.01,0.47,1.226
a,0.12,-0.31,9.74, ,1.229
a,0.12,-0.31,9.78, ,1.232
r,0.88,-0.01,-0.01,0.47,1.236
a,0.16,-0.34,9.80, ,1.238
a,0.12,-0.34,9.80, ,1.241
r,0.88,-0.01,-0.01,0.47,1.245
a,0.12,-0.34,9.78, ,1.249
a,0.16,-0.31,9.78, ,1.252
r,0.88,-0.01,-0.01,0.47,1.255
a,0.12,-0.34,9.78, ,1.258
a,0.12,-0.31,9.78, ,1.260
